legajo,actual,new,bultos,horas,dias,sectores,sector_principal,turnos,diff,diff_pct,bultos_hora,bultos_dia,pay_actual,nivel_actual,bultos_actuales,desde_actual,hasta_actual,pen_tnc,pen_error,eq_sector,eq_traslado,eq_cons,total_eq,pen_total,eq_per_hour,nivel_nuevo,premio_hora_nuevo,ritmo_nuevo,sectores_nuevo
192184,0.0,16627.94,2944.0,62.0,9,4,B1,1,16627.94,,47.483870967741936,327.1111111111111,0.0,1.0,327.1111111111111,770.0,999.0,303.21999999999997,0.0,2970.83,736.731,77.381,3784.943,303.21999999999997,61.047467741935485,1.5611688311688312,580.0183012987013,194.82623365800868,10
192185,67872.43,82305.7,6570.0,54.0,8,3,B1,1,14433.270000000004,21.265291370885066,121.66666666666667,821.25,67872.43,2.875,821.25,1098.75,1274.25,0.0,0.0,6401.84,1362.097,165.642,7929.581,0.0,146.8440925925926,1.9165584415584416,813.9661168831169,94.03695941558442,7
192187,70969.12,84969.65,7314.0,72.0,10,5,B1,1,14000.529999999999,19.727636470622713,101.58333333333333,731.4,70969.12,2.7,731.4,1071.0,1284.0,1205.27,0.0,6937.49,1374.96,99.142,8411.596,1205.27,116.82772222222222,2.043206373458474,812.0711859243697,85.43423863954673,8
192695,0.0,11889.140000000001,1337.0,27.0,4,4,OF,1,11889.140000000001,,49.51851851851852,334.25,0.0,1.0,334.25,770.0,999.0,11.56,0.0,1287.79,329.87,41.712,1659.373,11.56,61.45825925925926,1.4388888888888889,439.3362222222222,47.10460972222222,6
193090,4811.52,35182.79,5360.0,72.0,11,4,B1,1,30371.27,631.2198639930832,74.44444444444444,487.27272727272725,4811.52,1.0909090909090908,487.27272727272725,790.9090909090909,1009.9090909090909,768.63,17.75,5342.13,1262.8229999999999,100.959,6705.909000000001,786.38,93.13762500000001,1.6412676218028195,651.8289720025715,102.54970367130458,7
193092,0.0,740.23,411.0,7.0,2,2,B1,1,740.23,,58.714285714285715,205.5,0.0,1.0,205.5,770.0,999.0,21.91,0.0,403.19,124.69200000000001,8.464,536.345,21.91,76.62071428571429,1.0285714285714285,21.149428571428572,36.006657142857144,5
194041,100554.72,139620.08,15669.0,141.0,20,3,B1,1,39065.359999999986,38.84985210042849,111.12765957446808,783.45,100554.72,2.4210526315789473,831.3157894736842,1031.1052631578948,6385.9473684210525,5.93,222.99,15355.51,3120.256,282.92,18758.689,228.92000000000002,133.04034751773048,1.801426389436342,704.4511671611995,123.57223777745452,9
194042,87666.66,102715.98,8074.0,103.0,20,2,PA,1,15049.319999999992,17.16652602026813,78.3883495145631,403.7,87666.66,1.25,403.7,719.5,20853.2,0.0,0.0,8074.0,0.0,0.0,8074.0,0.0,78.3883495145631,1.672713529856387,843.3694973544974,76.41336035525322,2
194826,0.0,11687.87,2824.0,56.0,9,3,B1,1,11687.87,,50.42857142857143,313.77777777777777,0.0,1.0,313.77777777777777,770.0,999.0,801.94,0.0,2903.32,631.824,19.346,3554.4900000000002,801.94,63.47303571428572,1.2806174089068825,281.79623872180457,175.97642852564104,10
195116,46635.28,46560.16,4804.0,42.0,6,5,CO,1,-75.11999999999534,-0.16107976621989906,114.38095238095238,800.6666666666666,46635.28,2.3333333333333335,800.6666666666666,1040.0,17649.166666666668,0.0,0.0,4804.0,0.0,0.184,4804.184,0.0,114.38533333333334,1.5869708994708995,929.5636539454697,158.2711572833599,9
