legajo,actual,nuevo_base,nuevo_ajustado,bultos,horas,dias,sector,diff_base,pct_base,diff_aj,pct_aj,bph,grupo,equiv
203637,913667.94,465140.39,501742.01,39136.0,223.0,28,B1,-448527.54999999993,-49.090871022573026,-411925.92999999993,-45.084862012341155,175.49775784753362,SECOS + NOA,1.0
203640,26392.7,24523.8,46264.78,1426.0,12.0,2,B1,-1868.9000000000015,-7.081124704937356,19872.079999999998,75.29385019342469,118.83333333333333,SECOS + NOA,1.0
203679,702397.08,434441.8,478101.32,35004.0,216.0,28,B1,-267955.27999999997,-38.14868934250125,-224295.75999999995,-31.932900404426505,162.05555555555554,SECOS + NOA,1.0
203690,178391.54,159499.72,172974.68,18858.0,161.0,24,F1,-18891.820000000007,-10.590087399884549,-5416.860000000015,-3.036500497725405,117.1304347826087,OTRAS CAMARAS,1.0
206099,205652.67,183282.66999999998,207780.45,15724.0,131.0,19,B1,-22370.00000000003,-10.877563612473413,2127.779999999999,1.0346473984509896,120.03053435114504,SECOS + NOA,1.0
206101,400655.78,108720.33,108720.33,18969.0,188.0,24,PI,-291935.45,-72.86440495130259,-291935.45,-72.86440495130259,100.89893617021276,SECOS + NOA,1.64
206105,409464.29,286060.23,300572.07,27622.0,209.0,26,B1,-123404.06,-30.1379297325293,-108892.21999999997,-26.593825801024057,132.16267942583733,SECOS + NOA,1.0
206118,208856.87,98639.57,109751.17,14495.0,166.0,21,NS,-110217.29999999999,-52.771690009526615,-99105.7,-47.45149154059428,87.31927710843374,SECOS + NOA,1.43
206120,230440.49,117495.09,126830.09,15100.0,188.0,23,PI,-112945.4,-49.012827563419954,-103610.4,-44.96189016088275,80.31914893617021,SECOS + NOA,1.64
206121,114899.56999999999,95084.6,95084.6,12585.0,107.0,15,BA,-19814.969999999987,-17.245469238918812,-19814.969999999987,-17.245469238918812,117.61682242990655,OTRAS CAMARAS,1.0
206122,683891.92,407700.65,441313.81,34962.0,221.0,28,B1,-276191.27,-40.38522198068958,-242578.11000000004,-35.47024067779599,158.19909502262445,SECOS + NOA,1.0
206130,134559.57,127057.47,127057.47,17757.0,164.0,23,F1,-7502.100000000006,-5.57530021833453,-7502.100000000006,-5.57530021833453,108.27439024390245,OTRAS CAMARAS,1.0
206145,468623.65,145944.15,159902.87,19891.0,198.0,25,AM,-322679.5,-68.85685346866296,-308720.78,-65.87819031327165,100.45959595959596,SECOS + NOA,1.1
206147,543279.04,371936.16,419925.12,30984.0,199.0,25,B1,-171342.88000000006,-31.538650929732174,-123353.92000000004,-22.70544433298955,155.69849246231155,SECOS + NOA,1.0
206264,242399.19,177761.57,199495.77,21638.0,163.0,23,F1,-64637.619999999995,-26.665773924409564,-42903.42000000001,-17.699489837404165,132.74846625766872,OTRAS CAMARAS,1.0
206265,121166.69,96221.78,96221.78,14210.0,118.0,17,F1,-24944.910000000003,-20.58726701208063,-24944.910000000003,-20.58726701208063,120.42372881355932,OTRAS CAMARAS,1.0
206693,540397.74,154065.87,168250.07,20622.0,205.0,25,AM,-386331.87,-71.49028232427472,-372147.67,-68.86551190980185,100.59512195121951,SECOS + NOA,1.1
